class,specobjid,ra,dec,z,sigma_forbidden,oiii_5007_flux,nii_6584_flux,h_beta_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_eqw
GALAXY,316548325203535872,172.63841,1.2557024,0.125938,205.5795,5.731352,18.86791,7.142465,48.17811,5.631948,1.240809,5.670533,-2.18151
GALAXY,316552998127953920,173.12958,0.26318228,0.125516,66.67329,6.036425,8.393759,5.262471,17.52622,5.954137,4.580999,1.378567,-1.559498
GALAXY,317515346418362368,174.59904,-1.0523227,0.151658,138.9756,2.342282,11.42731,4.659876,4.069358,3.750526,21.56858,1.125579,-1.038421
GALAXY,317524142511384576,174.80016,-0.11395389,0.1418712,79.73113,10.82777,45.05796,28.23214,120.4876,20.45492,12.1753,2.352263,-13.02363
GALAXY,317536786895104000,174.66679,-0.14646578,0.2600247,373.1599,3.968728,2.051137,2.232373,29.3431,23.14803,-6.201765,4.451297,-3.891307
GALAXY,317539260796266496,173.75121,-1.1339316,0.1166475,99.25166,4.663266,37.63713,17.94021,99.42928,11.3228,8.023814,1.756962,-8.949907
GALAXY,317548881523009536,173.86515,-0.55500683,0.1051683,161.8986,13.52132,63.4932,8.40798,36.39441,31.0384,21.71972,9.227098,-2.66003
GALAXY,317558502249752576,173.7428,-0.39331002,0.1350217,328.4107,7.160435,3.888648,0.748919,5.513314,8.268972,1.961823,-5.043633,-0.3424307
GALAXY,317560701273008128,173.40701,-1.1004529,0.1336699,105.5617,4.822119,0.5123265,7.495242,3.881188,-2.360441,-7.204091,0.3210755,-0.1074051
GALAXY,317565374197426176,173.35958,-0.2098277,0.3338675,36.9502,1.78017,8.873258,1.049955,44.28818,-3.176148,-1.69854,27.19251,-4.065528
GALAXY,317585715162540032,172.66687,-0.96517458,0.04814501,48.40844,20.35204,9.689779,8.716222,19.73409,4.833305,3.039637,3.283775,-1.179022
GALAXY,317587089552074752,172.51373,-0.42483185,0.1044627,141.2027,11.87056,38.62148,10.05443,35.53044,6.595447,4.655348,-0.4179741,-2.079683
GALAXY,317594786133469184,172.72261,0.88117614,0.1267309,216.0004,17.38224,109.8169,11.52988,85.60934,29.89068,32.0365,9.792561,-8.042461
GALAXY,317607705395095552,173.2642,0.92424274,0.3411288,65.16188,2.713533,12.83969,0.7293411,-7.455341,14.07479,-2.209132,1.901093,1.319478
GALAXY,317672026825320448,174.63819,0.84602891,0.1062343,116.9399,18.07702,119.5025,47.92759,288.0168,47.91445,35.90026,9.682242,-28.35046
GALAXY,318638502596077568,177.15681,-0.23405524,0.04779519,96.21616,16.26963,60.39341,16.19609,71.47823,32.49878,18.67649,12.86607,-3.327497
GALAXY,318644549910030336,176.62509,-1.0226835,0.07994995,67.79823,37.76552,68.1026,58.2889,244.736,50.81911,36.07771,9.490807,-29.79553
GALAXY,318655819904215040,176.51835,-1.1038134,0.1163271,212.8885,6.301007,15.6691,3.837937,28.42434,6.184925,1.406869,-0.6078711,-2.20969
GALAXY,318683857450723328,176.13659,-0.28874931,0.04688716,37.13918,7.022569,40.55308,28.66312,104.5524,23.72428,17.30572,2.096586,-14.88529
GALAXY,318706947194906624,174.93343,-1.0295611,0.07805301,500,16.52829,16.50032,35.70159,23.94411,-3.839376,1.590407,1.473312,-0.4649015
GALAXY,318714918654208000,175.18836,-0.60629945,0.07371238,95.558,18.05858,74.15385,43.34994,211.827,35.95625,20.52038,10.61094,-9.673108
GALAXY,318718217189091328,175.07727,1.0761133,0.07695858,161.36,12.99289,231.7308,32.60326,388.4686,80.82509,55.23621,18.51406,-20.86108
GALAXY,318722340357695488,175.12912,0.82753442,0.1593343,37.25378,3.980239,18.47611,14.59866,68.89594,9.077347,6.002864,-0.8824651,-9.309548
GALAXY,318725364014671872,175.16052,0.054086502,0.09556801,77.42352,14.78502,109.0567,41.83983,172.2364,33.61756,30.87634,6.702623,-14.00865
GALAXY,318727837915834368,175.32308,-0.086492494,0.1185632,69.42311,8.789009,87.0397,59.20543,254.4413,23.45159,22.5455,7.293579,-18.73905
GALAXY,318766595700713472,176.44823,0.26758193,0.1094284,1,3.561083,0.3150447,2.341352,4.730133,-0.1685713,1.641718,1.535164,-0.2765393
GALAXY,319755881019369472,178.97439,-1.1667983,0.1213642,222.8959,25.95036,58.34479,15.63352,77.00344,39.78555,33.9861,15.65087,-6.777448
GALAXY,319762203211229184,179.29428,-0.51553041,0.08323594,198.1297,3.655448,17.21368,6.15619,26.80663,6.892313,6.757547,3.149457,-1.623442
GALAXY,319784193443784704,178.81807,-0.50566212,0.1320309,1,3.365512,-2.594384,8.194152,2.742302,3.9255,2.149808,-0.02671781,0.1592224
GALAXY,319786392467040256,178.82434,-0.33236608,0.2263093,217.935,12.2034,28.48175,1.6917,22.20472,11.75369,11.7814,6.492058,-2.542063
GALAXY,319793539292620800,178.166,-0.82484275,0.3417256,147.4371,1.833666,37.37068,0.9519861,0.01034205,-2.503154,-0.005183799,7.609408,-1.004815
GALAXY,319805359042619392,178.10354,-0.61031319,0.07711183,47.75945,19.76136,32.64643,30.0725,110.2244,26.6321,16.81544,3.804312,-31.73195
GALAXY,319824325618198528,177.49141,-1.2333524,0.0801945,91.61442,84.90671,157.3148,115.0161,406.2443,88.81319,59.03622,17.39208,-29.1573
GALAXY,319827074397267968,177.37456,-0.79843348,0.08074866,57.11738,78.13444,61.64689,72.96383,278.5276,58.26645,43.64572,9.919686,-65.24192
GALAXY,319832022199592960,177.56837,-0.39629466,0.1141254,176.1888,2.341457,32.28193,9.005516,32.48612,12.81071,7.155959,0.7264584,-3.178903
GALAXY,319833671467034624,177.25793,-1.1026066,0.0198656,52.6074,21.24491,111.1218,91.08138,340.4278,62.98587,43.47081,9.247499,-17.4985
GALAXY,319859784868194304,177.41719,0.84862403,0.3201123,500,10.41331,9.932113,9.266109,4.977909,-18.19625,28.19407,4.526285,-0.5870147
GALAXY,319882599734470656,178.05732,0.56322144,0.1956867,247.2551,19.39139,90.73606,8.140459,43.36206,30.87778,25.85017,11.43209,-4.56599
GALAXY,319906788990281728,179.01825,0.19930142,0.07731517,156.6137,8.48625,9.487845,8.393571,23.02115,10.3477,7.909306,4.531676,-1.014569
GALAXY,319925755565860864,179.18814,0.74231398,0.07797883,99.9376,14.84717,27.19608,-1.308938,30.61708,13.68309,4.188666,0.1633084,-0.868744
GALAXY,319926030443767808,179.00241,0.84084197,0.06563144,153.5205,11.01772,4.096539,11.50614,21.16834,0.3014261,-1.474102,-1.797284,-0.4002123
GALAXY,319927129955395584,179.4606,0.061000762,0.1690283,76.99833,70.93385,113.3339,92.2191,402.515,53.46769,35.66435,8.583124,-106.3231
GALAXY,319929328978651136,179.42227,0.28377301,0.1082572,150.0706,9.670387,58.3598,24.66705,126.9243,9.480937,12.95336,2.672822,-7.137277
GALAXY,319930428490278912,179.43116,0.023481243,0.1285746,172.9318,6.258136,77.78443,22.88583,133.6212,26.75412,17.28811,9.839333,-8.727561
GALAXY,320901022161594368,180.44317,-0.48761422,0.1678391,1,2.559832,4.311439,-2.131924,3.689909,-0.9151155,2.451385,-1.661944,-0.2678767
GALAXY,320908993620895744,179.76158,-1.0934827,0.1196483,77.6473,15.05266,68.60855,40.55793,188.7367,30.9601,27.5703,4.002621,-28.25531
GALAXY,320934007510427648,179.85167,-0.41091878,0.04724061,65.40311,8.565866,15.56298,14.32677,40.59099,11.65884,7.228053,1.979176,-8.11169
GALAXY,320940329702287360,179.55953,-0.97814605,0.1214892,121.4938,12.29559,152.1738,54.02708,245.0108,38.50226,30.89743,11.19914,-15.29014
GALAXY,320944177992984576,179.61472,-0.66009923,0.124821,135.3047,6.495098,40.11624,24.74574,87.64286,12.49038,8.714016,4.105752,-7.432873
GALAXY,320969741638330368,179.23754,1.1158918,0.03932527,102.5238,72.40946,607.0603,295.8532,1506.488,258.6536,183.1705,36.78738,-44.60089
GALAXY,320992281626699776,179.60885,0.841406,0.04646968,45.61812,71.28546,53.03144,70.94545,260.1781,57.95581,41.70292,10.26221,-35.51092
GALAXY,321001077719721984,179.54999,0.3393279,0.132967,117.6693,12.3789,60.20639,38.76623,166.3774,25.16947,13.36873,5.156156,-20.49504
GALAXY,321007399911581696,179.67111,0.84255123,0.06464712,59.87246,13.51541,43.5452,38.99212,128.6757,30.99373,19.46847,3.366439,-23.78259
GALAXY,321016470882510848,179.76203,0.28560101,0.1683328,500,5.152605,7.808872,0.5699202,1.855861,14.4775,-12.0223,5.048552,-0.6462907
GALAXY,309778637077374976,162.10486,0.84593932,0.1051008,108.4707,9.820539,33.02295,8.579312,19.60915,6.62949,1.355442,3.604175,-0.8668845
GALAXY,309785783902955520,162.50613,0.47235241,0.09158684,50.42645,16.82296,53.1095,48.36496,174.9543,38.88744,27.89751,6.690197,-33.79869
GALAXY,310804481409312768,162.97978,-0.89375887,0.0485734,46.7226,78.79752,41.51498,65.7437,225.5869,42.55919,29.89561,7.053342,-40.31486
GALAXY,310805580920940544,163.05741,-1.2508467,0.1272434,162.486,13.71219,83.64751,24.08204,153.3126,35.43755,20.8103,9.196323,-9.230836
GALAXY,310826196763961344,162.22833,-0.84548849,0.2589664,500,71.83729,138.966,11.57182,61.96444,-6.438213,31.0291,1.178607,-6.775467
GALAXY,310828120909309952,162.25838,-0.71728396,0.02611633,45.69657,18.3467,37.41133,31.18427,127.9248,35.84659,24.31096,4.271803,-14.80027
GALAXY,310840215537215488,162.21709,0.90065725,0.1056359,124.1285,7.022795,10.68131,0.7657056,5.967392,2.079977,0.9383489,-0.6731935,-0.6805798
GALAXY,310849561386051584,162.69207,1.0685873,0.09735089,68.35327,5.159742,24.66797,17.00135,66.77525,10.83471,8.162662,3.499352,-7.888684
GALAXY,310853409676748800,162.2969,0.37911508,0.04037981,117.5469,23.61893,224.4049,76.11694,467.6181,70.62126,55.72034,15.47396,-16.06536
GALAXY,310867703327909888,162.59494,0.23637702,0.03942392,72.45979,19.60059,129.0888,52.28371,241.8007,35.40603,26.60214,5.396471,-7.042211
